Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191709,1.86,-1.52
191710,3.74,1.04
191711,0.82,-1.75
191712,1.15,-0.86
191801,1.39,-0.42
191802,1.92,0.42
191803,1.45,-0.59
191804,1.85,-0.75
191805,4.08,0.99
191806,2.01,-1.27
191807,1.69,-1.35
191808,2.44,-0.68
191809,2.89,-0.49
191810,3.21,0.51
191811,3.04,0.47
191812,2.67,0.66
191901,0.74,-1.07
191902,1.64,0.14
191903,2.46,0.42
191904,3.28,0.68
191905,3.31,0.22
191906,2.34,-0.94
191907,2.45,-0.59
191908,2.34,-0.78
191909,3.15,-0.23
191910,4.20,1.50
191911,2.98,0.41
191912,0.88,-1.13
192001,1.33,-0.48
192002,0.79,-0.71
192003,2.61,0.57
192004,2.84,0.24
192005,1.40,-1.69
192006,4.03,0.75
192007,3.28,0.24
192008,2.72,-0.40
192009,2.50,-0.88
192010,1.74,-0.96
192011,2.47,-0.10
192012,3.12,1.11
192101,0.72,-1.09
192102,0.99,-0.51
192103,3.61,1.57
192104,3.59,0.99
192105,1.95,-1.14
192106,2.18,-1.10
192107,2.84,-0.20
192108,3.95,0.83
192109,3.79,0.41
192110,2.91,0.21
192111,2.51,-0.06
192112,2.51,0.50
192201,1.23,-0.58
192202,2.32,0.82
192203,2.57,0.53
192204,3.34,0.74
192205,3.02,-0.07
192206,3.47,0.19
192207,3.86,0.82
192208,2.12,-1.00
192209,3.70,0.32
192210,2.05,-0.65
192211,2.32,-0.25
192212,1.29,-0.72
192301,1.67,-0.14
192302,1.06,-0.44
192303,2.77,0.73
192304,1.74,-0.86
192305,2.95,-0.14
192306,2.68,-0.60
192307,3.20,0.16
192308,2.69,-0.43
192309,3.28,-0.10
192310,2.68,-0.02
192311,1.17,-1.40
192312,2.06,0.05
192401,1.96,0.15
192402,1.63,0.13
192403,1.62,-0.42
192404,2.31,-0.29
192405,3.58,0.49
192406,2.97,-0.31
192407,3.67,0.63
192408,3.56,0.44
192409,2.82,-0.56
192410,0.49,-2.21
192411,1.89,-0.68
192412,2.12,0.11
192501,0.88,-0.93
192502,1.39,-0.11
192503,1.51,-0.53
192504,1.80,-0.80
192505,1.08,-2.01
192506,2.57,-0.71
192507,3.20,0.16
192508,2.50,-0.62
192509,4.03,0.65
192510,3.00,0.30
192511,2.00,-0.57
192512,1.56,-0.45
192601,1.36,-0.45
192602,1.95,0.45
192603,2.37,0.33
192604,1.91,-0.69
192605,2.40,-0.69
192606,3.57,0.29
192607,2.44,-0.60
192608,3.46,0.34
192609,4.96,1.58
192610,3.15,0.45
192611,3.61,1.04
192612,1.53,-0.48
192701,1.20,-0.61
192702,1.22,-0.28
192703,1.97,-0.07
192704,2.24,-0.36
192705,4.79,1.70
192706,2.00,-1.28
192707,3.43,0.39
192708,0.79,-2.33
192709,4.61,1.23
192710,2.47,-0.23
192711,4.14,1.57
192712,2.74,0.73
192801,1.63,-0.18
192802,1.55,0.05
192803,2.00,-0.04
192804,2.96,0.36
192805,2.40,-0.69
192806,4.47,1.19
192807,2.81,-0.23
192808,3.68,0.56
192809,3.41,0.03
192810,3.90,1.20
192811,2.95,0.38
192812,1.43,-0.58
192901,2.97,1.16
192902,0.95,-0.55
192903,1.94,-0.10
192904,5.28,2.68
192905,3.84,0.75
192906,3.18,-0.10
192907,2.44,-0.60
192908,1.35,-1.77
192909,2.40,-0.98
192910,3.70,1.00
192911,1.66,-0.91
192912,1.96,-0.05
193001,1.93,0.12
193002,1.78,0.28
193003,1.62,-0.42
193004,1.70,-0.90
193005,3.17,0.08
193006,3.69,0.41
193007,1.37,-1.67
193008,0.82,-2.30
193009,2.42,-0.96
193010,1.91,-0.79
193011,1.45,-1.12
193012,0.82,-1.19
193101,1.25,-0.56
193102,0.84,-0.66
193103,1.87,-0.17
193104,1.41,-1.19
193105,3.11,0.02
193106,3.58,0.30
193107,1.94,-1.10
193108,1.85,-1.27
193109,5.20,1.82
193110,3.00,0.30
193111,3.89,1.32
193112,1.82,-0.19
193201,3.04,1.23
193202,1.69,0.19
193203,1.46,-0.58
193204,1.62,-0.98
193205,3.94,0.85
193206,2.37,-0.91
193207,3.91,0.87
193208,3.83,0.71
193209,2.39,-0.99
193210,4.38,1.68
193211,1.77,-0.80
193212,2.39,0.38
193301,1.34,-0.47
193302,1.82,0.32
193303,1.77,-0.27
193304,3.16,0.56
193305,3.97,0.88
193306,2.38,-0.90
193307,1.91,-1.13
193308,1.59,-1.53
193309,3.39,0.01
193310,4.05,1.35
193311,2.06,-0.51
193312,1.92,-0.09
193401,1.24,-0.57
193402,0.63,-0.87
193403,1.89,-0.15
193404,2.03,-0.57
193405,1.26,-1.83
193406,2.27,-1.01
193407,1.54,-1.50
193408,2.39,-0.73
193409,5.24,1.86
193410,1.94,-0.76
193411,4.11,1.54
193412,1.55,-0.46
193501,2.02,0.21
193502,1.38,-0.12
193503,1.86,-0.18
193504,1.36,-1.24
193505,2.47,-0.62
193506,4.09,0.81
193507,2.74,-0.30
193508,3.54,0.42
193509,2.52,-0.86
193510,1.90,-0.80
193511,3.26,0.69
193512,1.28,-0.73
193601,1.73,-0.08
193602,1.74,0.24
193603,1.17,-0.87
193604,1.96,-0.64
193605,2.33,-0.76
193606,2.03,-1.25
193607,1.05,-1.99
193608,3.53,0.41
193609,4.66,1.28
193610,3.06,0.36
193611,1.44,-1.13
193612,2.14,0.13
193701,2.30,0.49
193702,1.82,0.32
193703,0.62,-1.42
193704,3.61,1.01
193705,2.33,-0.76
193706,3.11,-0.17
193707,3.82,0.78
193708,2.61,-0.51
193709,3.78,0.40
193710,2.71,0.01
193711,2.36,-0.21
193712,1.46,-0.55
193801,2.61,0.80
193802,3.17,1.67
193803,2.83,0.79
193804,1.76,-0.84
193805,3.75,0.66
193806,3.19,-0.09
193807,2.94,-0.10
193808,4.28,1.16
193809,2.85,-0.53
193810,1.28,-1.42
193811,1.62,-0.95
193812,2.16,0.15
193901,2.23,0.42
193902,2.70,1.20
193903,1.74,-0.30
193904,2.88,0.28
193905,2.48,-0.61
193906,5.03,1.75
193907,1.63,-1.41
193908,4.27,1.15
193909,2.61,-0.77
193910,2.47,-0.23
193911,0.74,-1.83
193912,1.39,-0.62
194001,1.93,0.12
194002,1.19,-0.31
194003,1.42,-0.62
