Michigan, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193103,20.7,1.4
193104,30.5,-0.4
193105,40.2,-1.1
193106,53.6,2.6
193107,58.5,2.6
193108,54.2,0.1
193109,52.8,5.5
193110,41.6,4.3
193111,33.6,6.5
193112,23.9,7.6
193201,23.0,12.8
193202,15.8,5.8
193203,15.2,-4.1
193204,27.9,-3.0
193205,41.8,0.5
193206,52.4,1.4
193207,55.8,-0.1
193208,54.9,0.8
193209,45.7,-1.6
193210,37.4,0.1
193211,23.0,-4.1
193212,15.3,-1.0
193301,18.1,7.9
193302,8.5,-1.5
193303,19.5,0.2
193304,31.4,0.5
193305,44.2,2.9
193306,55.3,4.3
193307,56.7,0.8
193308,51.6,-2.5
193309,50.6,3.3
193310,35.1,-2.2
193311,21.6,-5.5
193312,13.3,-3.0
193401,16.6,6.4
193402,-1.1,-11.1
193403,13.6,-5.7
193404,29.2,-1.7
193405,42.3,1.0
193406,53.0,2.0
193407,56.2,0.3
193408,50.7,-3.4
193409,48.8,1.5
193410,37.4,0.1
193411,31.4,4.3
193412,13.8,-2.5
193501,9.9,-0.3
193502,10.2,0.2
193503,21.9,2.6
193504,29.4,-1.5
193505,36.8,-4.5
193506,48.9,-2.1
193507,60.3,4.4
193508,56.6,2.5
193509,44.7,-2.6
193510,35.9,-1.4
193511,26.6,-0.5
193512,14.2,-2.1
193601,8.5,-1.7
193602,-2.8,-12.8
193603,21.3,2.0
193604,26.9,-4.0
193605,43.9,2.6
193606,47.3,-3.7
193607,56.1,0.2
193608,54.9,0.8
193609,49.0,1.7
193610,34.2,-3.1
193611,22.0,-5.1
193612,18.2,1.9
193701,11.0,0.8
193702,12.9,2.9
193703,15.6,-3.7
193704,30.7,-0.2
193705,41.6,0.3
193706,51.2,0.2
193707,56.8,0.9
193708,57.6,3.5
193709,46.5,-0.8
193710,35.1,-2.2
193711,25.7,-1.4
193712,13.8,-2.5
193801,9.2,-1.0
193802,15.1,5.1
193803,24.0,4.7
193804,32.8,1.9
193805,42.1,0.8
193806,50.9,-0.1
193807,56.9,1.0
193808,58.1,4.0
193809,46.6,-0.7
193810,39.1,1.8
193811,27.5,0.4
193812,18.4,2.1
193901,13.6,3.4
193902,8.1,-1.9
193903,17.0,-2.3
193904,28.3,-2.6
193905,43.2,1.9
193906,53.2,2.2
193907,56.0,0.1
193908,55.8,1.7
193909,48.1,0.8
193910,36.3,-1.0
193911,25.2,-1.9
193912,22.3,6.0
194001,7.3,-2.9
194002,12.6,2.6
194003,14.7,-4.6
194004,27.3,-3.6
194005,39.8,-1.5
194006,51.4,0.4
194007,55.9,0.0
194008,55.4,1.3
194009,47.8,0.5
194010,37.7,0.4
194011,25.2,-1.9
194012,19.6,3.3
194101,13.2,3.0
194102,11.1,1.1
194103,13.9,-5.4
194104,34.6,3.7
194105,44.2,2.9
194106,52.7,1.7
194107,56.3,0.4
194108,53.0,-1.1
194109,49.8,2.5
194110,39.3,2.0
194111,30.0,2.9
194112,23.5,7.2
194201,12.3,2.1
194202,9.8,-0.2
194203,24.1,4.8
194204,34.9,4.0
194205,42.5,1.2
194206,52.0,1.0
194207,55.6,-0.3
194208,54.7,0.6
194209,46.3,-1.0
194210,36.7,-0.6
194211,25.7,-1.4
194212,14.4,-1.9
194301,6.9,-3.3
194302,10.7,0.7
194303,13.6,-5.7
194304,27.0,-3.9
194305,40.9,-0.4
194306,54.8,3.8
194307,56.7,0.8
194308,55.3,1.2
194309,43.8,-3.5
194310,35.6,-1.7
194311,25.2,-1.9
194312,14.2,-2.1
194401,18.3,8.1
194402,13.4,3.4
194403,16.7,-2.6
194404,27.6,-3.3
194405,45.9,4.6
194406,53.2,2.2
194407,54.9,-1.0
194408,55.3,1.2
194409,49.0,1.7
194410,34.9,-2.4
194411,31.0,3.9
194412,13.3,-3.0
194501,5.2,-5.0
194502,11.6,1.6
194503,28.7,9.4
194504,33.1,2.2
194505,36.7,-4.6
194506,48.0,-3.0
194507,53.4,-2.5
194508,54.0,-0.1
194509,47.8,0.5
194510,34.9,-2.4
194511,27.5,0.4
194512,12.2,-4.1
194601,13.3,3.1
194602,9.1,-0.9
194603,28.5,9.2
194604,30.9,0.0
194605,38.7,-2.6
194606,50.2,-0.8
194607,54.7,-1.2
194608,50.9,-3.2
194609,46.6,-0.7
194610,39.3,2.0
194611,28.5,1.4
194612,16.9,0.6
194701,13.6,3.4
194702,8.2,-1.8
194703,16.4,-2.9
194704,29.0,-1.9
194705,38.0,-3.3
194706,48.5,-2.5
194707,54.8,-1.1
194708,60.2,6.1
194709,49.2,1.9
194710,43.7,6.4
194711,24.6,-2.5
194712,16.9,0.6
194801,3.6,-6.6
194802,6.8,-3.2
194803,16.2,-3.1
194804,34.5,3.6
194805,38.4,-2.9
194806,49.9,-1.1
194807,56.5,0.6
194808,54.9,0.8
194809,48.9,1.6
194810,35.3,-2.0
194811,32.5,5.4
194812,17.7,1.4
194901,16.1,5.9
194902,13.5,3.5
194903,20.0,0.7
194904,30.4,-0.5
194905,41.6,0.3
194906,55.0,4.0
194907,59.0,3.1
194908,55.4,1.3
194909,44.5,-2.8
194910,39.9,2.6
194911,25.6,-1.5
194912,18.5,2.2
195001,12.4,2.2
195002,10.6,0.6
195003,14.0,-5.3
195004,25.8,-5.1
195005,40.0,-1.3
195006,50.7,-0.3
195007,52.9,-3.0
195008,50.3,-3.8
195009,46.5,-0.8
195010,40.3,3.0
195011,23.1,-4.0
195012,12.9,-3.4
195101,11.2,1.0
195102,12.0,2.0
195103,20.4,1.1
195104,32.1,1.2
195105,43.6,2.3
195106,49.8,-1.2
195107,54.9,-1.0
195108,52.0,-2.1
195109,45.1,-2.2
195110,38.5,1.2
195111,19.7,-7.4
195112,14.6,-1.7
195201,13.7,3.5
195202,14.5,4.5
195203,18.7,-0.6
195204,32.7,1.8
195205,40.6,-0.7
195206,53.4,2.4
195207,58.3,2.4
195208,53.5,-0.6
195209,47.1,-0.2
195210,30.4,-6.9
195211,28.2,1.1
195212,22.8,6.5
195301,16.0,5.8
195302,15.7,5.7
195303,23.5,4.2
195304,30.0,-0.9
195305,42.2,0.9
195306,52.8,1.8
195307,56.2,0.3
195308,55.4,1.3
195309,46.3,-1.0
195310,38.3,1.0
195311,30.5,3.4
195312,20.7,4.4
195401,9.6,-0.6
195402,19.6,9.6
195403,17.7,-1.6
195404,32.4,1.5
195405,37.1,-4.2
195406,54.4,3.4
195407,54.2,-1.7
195408,52.8,-1.3
195409,48.7,1.4
195410,38.7,1.4
195411,29.0,1.9
195412,17.2,0.9
195501,12.1,1.9
195502,11.2,1.2
195503,17.8,-1.5
195504,36.8,5.9
195505,43.3,2.0
195506,51.3,0.3
195507,60.6,4.7
195508,59.4,5.3
195509,46.3,-1.0
195510,39.6,2.3
195511,24.0,-3.1
195512,13.9,-2.4
195601,12.1,1.9
195602,10.9,0.9
195603,15.4,-3.9
195604,28.8,-2.1
195605,39.1,-2.2
195606,53.0,2.0
195607,54.2,-1.7
195608,54.6,0.5
195609,43.5,-3.8
195610,39.7,2.4
195611,27.5,0.4
195612,19.9,3.6
195701,5.7,-4.5
195702,13.3,3.3
195703,19.0,-0.3
195704,33.1,2.2
195705,41.2,-0.1
195706,52.4,1.4
195707,56.2,0.3
195708,52.8,-1.3
195709,45.6,-1.7
195710,35.1,-2.2
195711,28.0,0.9
195712,19.0,2.7
195801,13.0,2.8
195802,7.5,-2.5
195803,22.6,3.3
195804,31.4,0.5
195805,38.3,-3.0
195806,46.0,-5.0
195807,55.2,-0.7
195808,53.1,-1.0
195809,47.7,0.4
195810,39.0,1.7
195811,28.1,1.0
195812,7.0,-9.3
